,num,forpet_hash,shop_name,shop_address,address,num,review,score,match
1,3003,addbb9f1fe335058a4417a7d0ccb7cf7c652abca56623a38c92490fa2acc155d,애견카페,"['천안시', '서북구', '차암동', '462']",동남구 신부동 463-5번지 천안시 충청남도 KR,0,, 별표 5개 ,x
2,3007,57dfdded217f51da592744265ed71774f391eb443813cdfc86216336504c576a,아롱,"['동두천시', '송내동', '673']",송내동 673번지 동두천시 경기도 KR,1,0,0,x
3,3018,6db5b0b0aacb64366d7ee72f1b08cc1d96f6afe4028ab24641898dbdc5ca4c56,원더우먼인테리어,"['천안시', '서북구', '두정동', '668-1']",충청남도 천안시 서북구 백석동 330,1,0,0,x
4,3023,3e3433729a274c463c319fc0ef1e2a570cbde2bcbd4fa2c133a500ece3d0da40,펫포포즈애완동물전문점,"['천안시', '동남구', '성황동', '10-10']",충청남도 천안시 동남구 문성동 대흥로 324,1,0,0,x
5,3024,670d476d29642d181c4e339cce69a9770779c0fb0e8115504d8ad9d2c74a8160,이츠독,"['천안시', '동남구', '신부동', '458-4']",충청남도 천안시 동남구 신부동 번지 3층 458-4 KR,1,0,0,x
6,3025,e8dcb6d57e0431a71e9477a50c0df1ff7a178fbce3abe8de20ef8c77d0bd0f79,더캣카페,"['천안시', '동남구', '신부동', '386-58']",충청남도 천안시 동남구 신부동 386-5 지하 KR 1층,1,0,0,x
7,3028,e376e5ab5ddb1d1385343ce02e2158cb3ec6c4b68166e5b2d867ece5db49f9de,행복하개애견카페,"['포천시', '소흘읍', '고모리', '145-7']",경기도 포천시 소흘읍 고모리 145-7,0,"(Google 번역) 그들은 닫혀있다

(원본)
They're closed", 별표 5개 ,x
8,3030,8200bdb1fcbd6f749d3e8d685b11d69c7ca40ee16103f7d21022e681338b6971,바우와우애견펜션호텔,"['포천시', '소흘읍', '고모리', '145-7']",경기도 포천시 일동면 화동로 1606 KR,0,깨끗하고 시설 좋아요 씻길때는 개만 가면 됩니다 물품도 다 준비되어있구 사장님이 커피까지 내려주시네요 만족!! ^ㅇ^, 별표 4개 ,x
9,3030,8200bdb1fcbd6f749d3e8d685b11d69c7ca40ee16103f7d21022e681338b6971,써니네애견카페애완동물미용사,"['포천시', '소흘읍', '고모리', '145-7']",서울특별시 마포구 동교동 169-29 3층,0,"사장님도 매우 친절하시고 개들도 사람을 매우 좋아합니다.
다른 애견카페들과 다르게 냄새도 안 납니다.
개들이 건강하고 착합니다. 당신이 앉아있으면 무릎에 올라와서 잠을 잡니다. 너무 귀엽습니다. 개를 좋아한다면 꼭 가봤으면 좋겠습니다. 매우 추천합니다. 입장료도 안 비쌉니다.", 별표 5개 ,x
10,3036,84c2471fbc0361261b71a9349cf76e46da5f5b9f324c9d34a64241143fbba2da,개간지애견카페,"['안산시', '상록구', '부곡동', '666-5']",단원구 선부동 1070-11번지 304호 동양빌딩 안산시 경기도 KR,0,강아지들 이랑 교감할수있는 좋은곳, 별표 5개 ,x
11,3036,84c2471fbc0361261b71a9349cf76e46da5f5b9f324c9d34a64241143fbba2da,도그맘애완동물용품점,"['안산시', '상록구', '부곡동', '666-5']",경기도 안산시 상록구 본오1동 923-10,0,"주인 충성 사랑받기 위한 24시 잠자리
경비/비상택시 집 청지기 충견입니다", 별표 5개 ,x
12,3036,84c2471fbc0361261b71a9349cf76e46da5f5b9f324c9d34a64241143fbba2da,도그앤미,"['안산시', '상록구', '부곡동', '666-5']",상록구 본오동 870-9번지 4층 안산시 경기도 KR,1,0,0,x
13,3037,581d4f508f48051b4dcb907a7ae93d0af8d3c64815a86b72bd845dfb878d5c89,아이러브도그애완동물용품점,"['안산시', '상록구', '월피동', '461-8']",경기도 안산시 상록구 월피동 493-9,0,, 별표 3개 ,x
14,3038,ff159f43750df45ad702534d2738cb4000db3b0fb5d52b605a8ecfe0e862cbef,팻스토어,"['안산시', '단원구', '고잔동', '775-4']",경기도 안산시 단원구 고잔동 775-4,0,애견카페로는 보통입니다.  직원들이 친절하기는 해요, 별표 3개 ,x
15,3043,a9565b54c46b6fce4c8a66fcafdff575b461eba5c0b151963d70cac28de22f20,가나동물병원시운영동물병원,"['안산시', '단원구', '고잔동', '537-4']",경기도 안산시 단원구 고잔동 중앙대로 899,0,"최하! 반려동물의 생명을 돈으로 생각하는 병원!
6개월전 조직검사 결과 악성종양이 아니라는 판정을 하고,2차 수술진행 후에도 증상호전이 없어,
다른병원에 방문하여,기존 조직검사 차트를 받아 확인해 보니, 악성종양으로 확인되었고 1년정도밖에 못 산다고 선고 받음. 방문하여 담당의사를 만나 얘길하고, 남은 ""삶에대한 질적인 부분""과 사는동안 하루라도 편하게 살 수 있는 방안을 모색해 달라고 했으나, ""법대로 하랍니다""
2차방문 항의했더니, 20만원 준다고 하고, 거부했더니 60만원 준다고 하길래 거부하고,
모든방법과 수단으로 본 병원의 행태를 알리고
또 다른 피해자가 없기를 바라는 맘에 글을 올립니다", 별표 1개 ,x
16,3043,a9565b54c46b6fce4c8a66fcafdff575b461eba5c0b151963d70cac28de22f20,도그앤캣시동물병원동물병원,"['안산시', '단원구', '고잔동', '537-4']",경기도 안산시 단원구 고잔2동 531-2,0,최악입니다 가면 큰일나요 고양이 죽음, 별표 1개 ,x
